dtEventTime	UID	IP
2017-07-04 14:31:46	10002100000033	1.126.48.139
2017-07-04 14:42:44	10002100000034	210.186.16.201
2017-07-04 14:44:56	10002100000035	175.141.231.69
2017-07-04 14:46:28	10002100000036	73.158.238.252
2017-07-04 14:51:48	10002100000037	123.3.194.42
2017-07-04 15:30:28	10002100000038	172.58.11.119
2017-07-04 15:34:56	10002100000039	64.58.201.51
2017-07-04 15:55:06	10002100000040	70.190.128.70
2017-07-04 15:55:10	10002100000041	172.56.15.11
2017-07-04 16:15:20	10002100000042	172.72.1.110
2017-07-04 16:16:35	10002100000043	142.169.82.14
2017-07-04 16:24:20	10002100000044	97.81.4.244
2017-07-04 16:35:31	10002100000045	98.17.86.224
2017-07-04 16:37:46	10002100000046	115.164.190.234
2017-07-04 16:44:01	10002100000047	107.107.186.127
2017-07-04 16:45:34	10002100000048	172.58.120.37
2017-07-04 16:50:58	10002100000049	79.117.97.254
2017-07-04 17:01:49	10002100000050	184.66.25.236
2017-07-04 17:11:20	10002100000051	68.131.64.170
2017-07-04 17:35:02	10002100000052	73.120.69.221
2017-07-04 18:05:48	10002100000053	183.171.182.87
2017-07-04 18:07:22	10002100000054	66.87.121.82
2017-07-04 18:10:46	10002100000055	172.58.152.227
2017-07-04 18:12:33	10002100000056	172.58.92.170
2017-07-04 18:22:40	10002100000057	172.78.198.121
2017-07-04 18:24:43	10002100000058	176.83.48.13
2017-07-04 18:37:29	10002100000059	98.200.88.56
2017-07-04 18:39:53	10002100000060	174.197.19.41
2017-07-04 18:40:51	10002100000061	174.58.132.59
2017-07-04 18:54:36	10002100000062	94.0.90.201
2017-07-04 19:05:41	10002100000063	1.9.101.58
2017-07-04 19:17:50	10002100000064	84.104.189.183
2017-07-04 19:19:47	10002100000065	47.17.117.162
2017-07-04 21:39:26	10002100000066	50.127.57.87
2017-07-04 21:52:11	10002100000067	108.251.231.26
2017-07-04 22:01:06	10002100000068	42.153.47.167
2017-07-04 22:05:18	10002100000069	76.92.177.155
2017-07-04 22:35:37	10002100000070	70.109.185.152
2017-07-04 22:53:13	10002100000071	50.127.57.87
2017-07-04 23:05:07	10002100000072	66.87.148.13
2017-07-04 23:14:31	10002100000073	50.127.57.87
2017-07-04 23:27:27	10002100000074	183.90.36.241
2017-07-04 23:29:13	10002100000075	221.216.15.117
2017-07-04 23:31:39	10002100000076	73.41.28.108
2017-07-04 23:56:43	10002100000077	107.77.160.34
2017-07-05 00:26:23	10002100000078	119.56.108.161
2017-07-05 00:35:18	10002100000079	66.220.254.99
2017-07-05 00:42:51	10002100000080	67.11.151.87
2017-07-05 00:52:36	10002100000081	115.164.191.188
2017-07-05 01:33:56	10002100000082	128.72.248.134
2017-07-05 02:14:14	10002100000083	172.58.33.95
2017-07-05 02:23:24	10002100000084	96.9.161.35
2017-07-05 02:48:31	10002100000085	115.164.222.199
2017-07-05 02:51:58	10002100000086	166.137.179.62
2017-07-05 03:00:54	10002100000087	174.66.132.195
2017-07-05 03:06:24	10002100000088	49.196.156.129
2017-07-05 03:08:14	10002100000089	78.95.74.10
2017-07-05 03:13:18	10002100000090	172.58.21.13
2017-07-05 03:21:44	10002100000091	14.199.111.207
2017-07-05 03:25:38	10002100000092	123.136.106.204
2017-07-05 03:30:44	10002100000093	115.164.95.158
2017-07-05 03:48:11	10002100000094	115.164.50.208
2017-07-05 03:48:11	10002100000095	183.171.240.10
2017-07-05 03:53:33	10002100000096	183.171.178.139
2017-07-05 03:53:44	10002100000097	118.201.213.102
2017-07-05 03:54:36	10002100000098	69.55.153.210
2017-07-05 04:09:57	10002100000099	183.171.64.245
2017-07-05 04:12:02	10002100000100	183.171.178.242
2017-07-05 04:13:23	10002100000101	210.186.159.232
2017-07-05 04:15:32	10002100000102	183.171.88.86
2017-07-05 04:17:56	10002100000103	124.13.191.147
2017-07-05 04:38:45	10002100000104	110.159.85.104
2017-07-05 04:56:53	10002100000105	70.176.129.215
2017-07-05 04:57:14	10002100000106	123.136.106.15
2017-07-05 05:12:43	10002100000107	183.171.65.2
2017-07-05 05:18:09	10002100000108	183.171.176.228
2017-07-05 05:21:51	10002100000109	1.9.107.94
2017-07-05 05:27:35	10002100000110	118.101.96.193
2017-07-05 05:31:58	10002100000111	1.32.74.166
2017-07-05 05:38:26	10002100000112	123.136.112.149
2017-07-05 05:44:28	10002100000113	123.136.107.49
2017-07-05 05:53:05	10002100000114	183.171.178.204
2017-07-05 06:01:39	10002100000115	1.32.82.26
2017-07-05 06:01:50	10002100000116	73.90.89.246
2017-07-05 06:16:14	10002100000117	118.100.174.181
2017-07-05 06:22:41	10002100000118	210.195.113.24
2017-07-05 06:31:09	10002100000119	115.164.190.166
2017-07-05 06:38:23	10002100000120	115.164.190.202
2017-07-05 06:43:39	10002100000121	216.118.136.136
2017-07-05 06:48:07	10002100000122	89.204.139.10
2017-07-05 06:55:54	10002100000123	172.58.21.13
2017-07-05 07:08:27	10002100000124	123.136.107.197
2017-07-05 07:09:29	10002100000125	183.171.182.149
2017-07-05 07:13:30	10002100000126	115.164.178.199
2017-07-05 07:23:13	10002100000127	113.210.192.31
2017-07-05 07:26:52	10002100000128	73.185.38.20
2017-07-05 07:38:51	10002100000129	183.171.88.175
2017-07-05 07:46:03	10002100000130	110.159.68.228
2017-07-05 07:47:37	10002100000131	183.171.68.69
2017-07-05 07:51:14	10002100000132	42.153.56.67
2017-07-05 07:55:13	10002100000133	14.0.180.248
2017-07-05 07:58:41	10002100000134	183.171.84.159
2017-07-05 07:58:52	10002100000135	113.210.198.19
2017-07-05 08:04:12	10002100000136	113.210.108.153
2017-07-05 08:15:48	10002100000137	180.255.250.79
2017-07-05 08:17:03	10002100000138	50.127.54.199
2017-07-05 08:20:40	10002100000139	210.195.239.141
2017-07-05 08:24:28	10002100000140	202.188.219.52
2017-07-05 08:29:53	10002100000141	123.136.111.220
2017-07-05 08:37:06	10002100000142	183.171.67.237
2017-07-05 08:39:00	10002100000143	113.210.78.194
2017-07-05 08:40:46	10002100000144	24.95.43.209
2017-07-05 08:42:12	10002100000145	113.210.183.243
2017-07-05 08:43:51	10002100000146	115.164.88.213
2017-07-05 08:43:54	10002100000147	115.164.181.145
2017-07-05 08:45:49	10002100000148	183.171.76.90
2017-07-05 08:52:19	10002100000149	50.127.53.78
2017-07-05 08:55:51	10002100000150	175.140.162.109
2017-07-05 08:57:38	10002100000151	59.100.14.49
2017-07-05 08:58:31	10002100000152	98.150.244.17
2017-07-05 09:11:45	10002100000153	115.135.65.119
2017-07-05 09:22:29	10002100000154	113.210.110.85
2017-07-05 09:23:37	10002100000155	175.139.129.173
2017-07-05 09:31:50	10002100000156	123.136.112.250
2017-07-05 09:43:13	10002100000157	123.136.111.199
2017-07-05 09:51:18	10002100000158	113.210.50.27
2017-07-05 09:52:04	10002100000159	183.171.183.81
2017-07-05 09:53:46	10002100000160	175.139.211.11
2017-07-05 09:55:28	10002100000161	123.136.112.207
2017-07-05 09:56:09	10002100000162	113.210.64.204
2017-07-05 10:07:51	10002100000163	1.32.75.80
2017-07-05 10:09:10	10002100000164	223.17.162.249
2017-07-05 10:19:51	10002100000165	172.56.6.175
2017-07-05 10:20:05	10002100000166	58.165.174.114
2017-07-05 10:30:34	10002100000167	183.171.78.137
2017-07-05 10:38:00	10002100000168	113.210.59.169
2017-07-05 10:39:42	10002100000169	14.0.174.250
2017-07-05 10:40:47	10002100000170	183.171.73.59
2017-07-05 10:41:26	10002100000171	183.171.91.196
2017-07-05 11:01:10	10002100000172	113.210.100.162
2017-07-05 11:03:42	10002100000173	172.58.169.212
2017-07-05 11:20:45	10002100000174	123.136.112.59
2017-07-05 11:28:31	10002100000175	115.164.82.222
2017-07-05 11:49:57	10002100000176	113.210.57.241
2017-07-05 11:54:05	10002100000177	119.56.100.212
2017-07-05 11:56:06	10002100000178	123.136.112.37
2017-07-05 11:58:02	10002100000179	183.171.72.97
2017-07-05 12:01:08	10002100000180	121.121.108.186
2017-07-05 12:01:15	10002100000181	113.210.194.236
2017-07-05 12:01:57	10002100000182	175.139.122.52
2017-07-05 12:02:25	10002100000183	177.239.20.21
2017-07-05 12:09:05	10002100000184	119.56.101.132
2017-07-05 12:25:02	10002100000185	113.210.65.168
2017-07-05 12:31:31	10002100000186	175.136.166.247
2017-07-05 12:35:03	10002100000187	183.171.77.249
2017-07-05 12:37:21	10002100000188	115.164.55.226
2017-07-05 12:41:01	10002100000189	98.214.149.60
2017-07-05 12:47:07	10002100000190	115.164.49.243
2017-07-05 12:47:19	10002100000191	210.187.218.187
2017-07-05 12:48:36	10002100000192	41.162.163.75
2017-07-05 12:53:04	10002100000193	100.38.44.4
2017-07-05 12:58:41	10002100000194	123.136.106.36
2017-07-05 12:59:03	10002100000195	81.169.245.189
2017-07-05 13:10:43	10002100000196	115.164.80.18
2017-07-05 13:10:48	10002100000197	175.145.127.159
2017-07-05 13:21:58	10002100000198	115.164.90.195
2017-07-05 13:22:03	10002100000199	117.53.137.3
2017-07-05 13:22:12	10002100000200	1.9.103.4
2017-07-05 13:22:29	10002100000201	113.210.192.246
2017-07-05 13:23:22	10002100000202	1.9.106.11
2017-07-05 13:26:29	10002100000203	113.210.52.10
2017-07-05 13:29:54	10002100000204	81.213.177.230
2017-07-05 13:30:41	10002100000205	183.171.89.246
2017-07-05 13:41:20	10002100000206	115.164.191.191
2017-07-05 13:45:34	10002100000207	76.120.165.211
2017-07-05 13:53:29	10002100000208	115.133.89.124
2017-07-05 13:54:11	10002100000209	84.189.30.71
2017-07-05 13:54:43	10002100000210	123.136.111.202
2017-07-05 13:56:35	10002100000211	123.136.107.113
2017-07-05 14:00:03	10002100000212	115.164.188.161
2017-07-05 14:04:45	10002100000213	14.0.228.157
2017-07-05 14:04:52	10002100000214	123.136.112.211
2017-07-05 14:18:23	10002100000215	115.133.94.251
2017-07-05 14:25:14	10002100000216	183.78.62.93
2017-07-05 14:26:46	10002100000217	183.171.76.33
2017-07-05 14:33:07	10002100000218	115.164.55.42
2017-07-05 14:40:15	10002100000219	123.136.107.139
2017-07-05 14:40:40	10002100000220	183.171.68.224
2017-07-05 14:44:18	10002100000221	123.136.112.201
2017-07-05 14:49:19	10002100000222	24.142.69.181
2017-07-05 14:49:24	10002100000223	207.114.172.206
2017-07-05 14:51:42	10002100000224	183.78.47.193
2017-07-05 15:20:21	10002100000225	95.103.75.250
2017-07-05 15:28:31	10002100000226	73.221.115.0
2017-07-05 15:31:02	10002100000227	118.101.30.137
2017-07-05 15:36:09	10002100000228	99.203.0.25
2017-07-05 16:00:15	10002100000229	89.15.239.64
2017-07-05 16:04:59	10002100000230	82.113.121.75
2017-07-05 16:14:25	10002100000231	113.210.61.75
2017-07-05 16:18:15	10002100000232	123.136.107.237
2017-07-05 16:29:52	10002100000233	210.187.205.19
2017-07-05 16:39:25	10002100000234	123.136.111.136
2017-07-05 16:41:42	10002100000235	123.136.112.116
2017-07-05 16:50:22	10002100000236	122.11.160.221
2017-07-05 16:54:52	10002100000237	88.161.167.96
2017-07-05 17:07:28	10002100000238	73.52.45.141
2017-07-05 17:09:40	10002100000239	123.136.107.204
2017-07-05 17:13:16	10002100000240	172.223.32.62
